HSCode,ShipperName,ShipperFullAddress,ShipperLocalDUNS,ShipperPanjivaID,ShipperCleanedStockTickers,ShipperOriginalFormat,GrossWeightKg,ValueOfGoodsFOBUSD,ExportValue
03031320,Exportadora Mytilus S.A.,"AVE. LA DEHESA LO BARNECHEA, SANTIAGO.",,23546196,, EXPORTADORA MYTILUS LIMITADA,19390.0,56632.63,63132.63
03031310,Serv. Acuicultura Acuamag S.A,NATALES,,45189577,, SERV. DE ACUICULTURA ACUIMAG S.A.,21536.55,56256.7,63546.7
03044120,Salmones Multiexport S.A.,"AV. CARDONAL 2501 PUERTO MONTT, DE LOS LAGOS - X",980380745.0,4952254,MULTIFOODS-CL, SALMONES MULTIEXPORT S.A.,1702.0,9406.85,11549.35
03044200,Aguas Claras S.A.,PUERTO MONTT,,45978663,, AGUAS CLARAS S.A.,740.0,6643.58,7699.78
03044200,Aguas Claras S.A.,PUERTO MONTT,,45978663,, AGUAS CLARAS S.A.,2818.0,23344.65,27259.49
03031420,Comercial Orange Fish Spa,PUERTO MONTT,,30559318,, COMERCIAL ORANGE FISH SPA,23705.0,25915.0,30170.0
03048200,Salmones Antartica S.A.,SANTIAGO LA,,44382177,, SALMONES ANTARTICA S.A.,19800.0,101195.0,106920.0
03021410,Los Fiordos Ltda,"DIEGO PORTALES 2000 PISO 8, PUERTO MONTT PUERTO MONTT, LOS RíOS 5480000",,28819576,, EXPORTADORA LOS FIORDOS LTDA.,24442.72,87827.52,96900.0
03031310,Los Fiordos Ltda,"DIEGO PORTALES 2000 PISO 8, PUERTO MONTT PUERTO MONTT, LOS RíOS 5480000",,28819576,, EXPORTADORA LOS FIORDOS LTDA. -,24122.5,86493.23,89510.18
03021420,Empresas Aquachile S.A.,"CARDONAL S/N LOTE B PUERTO MONTT, DE LOS LAGOS - X 5480000",,40758905,AQUACHILE-CL, EMPRESAS AQUACHILE S.A.,295.0,2495.69,3121.69
"03044120,03045200",Salmones Camanchaca S.A.,TOME,,23411494,, SALMONES CAMANCHACA S.A.,2432.0,21772.95,25093.69
03031390,Empresas Aquachile S.A.,"CARDONAL S/N LOTE B PUERTO MONTT, DE LOS LAGOS - X 5480000",,40758905,AQUACHILE-CL, EMPRESAS AQUACHILE S.A.,20241.0,92364.43,98225.89
"03031410,03048200,03049959",Piscicola Entre Rios Ltda.,TALAGANTE,,23419138,, PISCICOLA ENTRE RIOS LTDA.,21179.3,76032.1,80314.1
"03021410,03044120",Empresas Aquachile S.A.,"CARDONAL S/N LOTE B PUERTO MONTT, DE LOS LAGOS - X 5480000",,40758905,AQUACHILE-CL, EMPRESAS AQUACHILE S.A.,314.0,3114.0,3779.2
03044120,Australis Mar S.A.,KLENER 547 2ND FLOOR PUERTO VARAS CHILE,,23435325,"AUSTRA-CL, AUSTRALIS-CL", AUSTRALIS MAR S.A.,1730.0,15205.85,17627.85
03048120,Exportadora Blue Sea Chile Spa,PUERTO MONTT,,44561522,, EXPORTADORA BLUE SEA CHILE SPA,23320.0,64460.0,64460.0
"03079999,16055410",Pesquera Villa Alegre S.A.,COQUIMBO,,23459034,, PESQUERA VILLA ALEGRE S.A.,27053.0,32376.75,36581.75
03044120,Cermaq Chile S.A.,PUERTO MONTT,,36824242,, CERMAQ CHILE S.A,2344.0,12560.1,12560.1
03044120,Salmones Humboldt Ltda,AVDA. JUAN SOLER MANFREDININ 41 EDIFICIO TORRE COSTANERA PISO 15 OF. 1501 PUERTO MONTT CHILE,,33478297,"MSBHY-US, 8058-JP", SALMONES HUMBOLDT LTDA.,1806.0,13452.83,16071.53
16055300,St.Andrews Smoky Delicacies S.,LAS CONDES,,23446927,, ST.ANDREWS SMOKY DELICACIES,24150.0,68004.0,72404.0
03031220,Salmones Aysen S.A.,SANTIAGO SA,,23498894,, SALMONES AYSEN S.A.,24750.0,119810.0,122935.0
03021410,Marine Harvest Chile Sa,H9231698 PUERTO MONTT,,33593588,"MHG-NO, MHGVY-US", MARINE HARVEST CHILE S.A.,24390.0,96900.0,96900.0
03021410,Serv. Acuicultura Acuamag S.A,NATALES,,45189577,, SERV. DE ACUICULTURA ACUIMAG S.A.,5411.0,21638.25,34317.35
03048120,Los Fiordos Ltda,"DIEGO PORTALES 2000 PISO 8, PUERTO MONTT PUERTO MONTT, LOS RíOS 5480000",,28819576,, EXPORTADORA LOS FIORDOS LTDA..,23055.8,112742.99,115292.99
03021410,Salmones Multiexport S.A.,"AV. CARDONAL 2501 PUERTO MONTT, DE LOS LAGOS - X",980380745.0,4952254,MULTIFOODS-CL, SALMONES MULTIEXPORT S.A.,5070.0,18424.05,30966.64
03044120,Los Fiordos Ltda,"DIEGO PORTALES 2000 PISO 8, PUERTO MONTT PUERTO MONTT, LOS RíOS 5480000",,28819576,, EXPORTADORA LOS FIORDOS LIMITADA,3642.0,17466.83,22670.43
