HSCode,ShipperName,ShipperFullAddress,ShipperLocalDUNS,ShipperPanjivaID,ShipperCleanedStockTickers,ShipperOriginalFormat,NetWeightKg,ValueOfGoodsFOBUSD
0307490000,Corporacion Internacional Manex S.A.C.,CAL. 24 NRO. 320 DPTO. 103 MCAL CASTILLA LIMA - LIMA - SAN B,,45754867,,CORPORACION INTERNACIONAL MANEX S.A.C.,6990.0,7080.61
0307490000,Perupez S.A.C.,CAL.LOS RUISEÑORES OESTE NRO. 225 (ALT CDRA 33 DE AV REPUBLI,,28343408,,PERUPEZ S.A.C.,27000.0,22550.0
1605540000,Inversiones Holding Peru Sociedad Anonim,MZA. V LOTE. 1D Z.I. II PIURA - PAITA - PAITA,934925125,28287918,,INVERSIONES HOLDING PERU SOCIEDAD ANONIM,44800.0,253785.0
0304820000,Piscifactorias De Los,PARAJE ATAQUICHQUE NRO. S/N JUNIN - HUANCAYO - QUICHUAY,934610452,33931280,,PISCIFACTORIAS DE LOS ANDES S.A,15277.25,143906.55
0304990000,Consorcio Industrial El Pacifico Socieda,AV. LA MAR NRO. 638 INT. 703 LIMA - LIMA - MIRAFLORES - LIMA,934056094,28783010,,CONSORCIO INDUSTRIAL EL PACIFICO SOCIEDA,11818.2,104939.25
0306171200,Langostinera Cardalito Sac,AV. ALEXANDER FLEMING NRO. 454 URB. INDUSTRIAL SANTA ROSA LI,,28353809,,LANGOSTINERA CARDALITO S.A.C,2427.27,20855.2
0304890000,Sercosta Sac,"AV. LAS CAMELIAS 491 OF. 402 LIMA, LIMA PROVINCE",,33505349,,SERCOSTA SAC,6123.5,37941.14
0307490000,Pesquera Hayduk S.A.,AV. MANUEL OLGUIN 501 INT. 701 URB. LIMA,,33511181,,PESQUERA HAYDUK S.A.,14426.0,13763.84
0301110000,Acuatrade S.A.C.,CAL. LAS MALVINAS NRO. S/N CAS. RUMOCOCHA SECTOR 08 SAN JUAN,,23118600,,ACUATRADE S.A.C.,110.0,1754.6
0307490000,Pesquera Hayduk S.A.,AV. MANUEL OLGUIN 501 INT. 701 URB. LIMA,,33511181,,PESQUERA HAYDUK S.A.,26502.0,24759.12
